"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
280,"NCT04141111","Retrospective and Prospective Study on Professional Continuous Glucose Monitoring in Insulin-treated Type 2 Diabetes","ADJUST","Completed","No Results Available","Diabetes Mellitus, Type 2","Device: Continuous Glucose Monitoring (CGM)","Glycemic control|Health status|Treatment satisfaction|Therapeutic changes","Associacao Protectora dos Diabeticos de Portugal|Medtronic","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","102","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","639/2015","March 22, 2015","January 24, 2017","March 1, 2018","October 28, 2019",,"October 28, 2019","APDP, Lisboa, Portugal",,"https://ClinicalTrials.gov/show/NCT04141111"
281,"NCT03847779","Microcirculatory Vasomotor Changes in Type 2 Diabetes With Peripheral Neuropathy","NEUROMICRO","Recruiting","No Results Available","Diabetic Neuropathy Peripheral|Small Vessel Disease of Diabetes Mellitus|Vasodilation|Vasoconstriction","Other: ""Rest""|Other: ""Exercise""|Other: ""Foot lowering""|Other: ""Hyperthermia""","Changes in average spectral amplitude of the entire frequency range between baseline and after stimulus","University of Avignon","All","40 Years to 75 Years   (Adult, Older Adult)","Not Applicable","110","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","UAPV-012019-AVJ","February 4, 2019","June 30, 2020","June 30, 2020","February 20, 2019",,"February 20, 2019","Centre Hospitalier Henri Duffaut, Avignon, France",,"https://ClinicalTrials.gov/show/NCT03847779"
282,"NCT04123587","Genetic Variants Replication Study Associated With Dependence on Sulfonylurea in Participants With Type 2 Diabetes",,"Recruiting","No Results Available","Diabetes Mellitus","Drug: discontinuation of Sulfonylureas","the list of previously found candidate variants which are observed in the slufonylurea-dependent patients but not in the non-dependent patients","Seoul National University Hospital","All","19 Years and older   (Adult, Older Adult)","Phase 4","58","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SU","September 10, 2019","August 2020","August 2021","October 11, 2019",,"October 11, 2019","Seoul National University Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04123587"
283,"NCT04076007","The Effect of Dietary Nitrate on Blood Pressure, Insulin Sensitivity, and Vascular Function in Type 2 Diabetes",,"Completed","No Results Available","Diabetes|Hypertension","Dietary Supplement: Beetroot juice|Dietary Supplement: Nitrate depleted beetroot juice","24 hour Ambulatory Blood Pressure monitoring after 2 weeks active juice|24 hour Ambulatory Blood Pressure monitoring after 2 weeks placebo juice|Brachial artery Flow mediated vasodilation|Microvascular response to Iontophoresis of Acetylcholine and Sodium Nitroprusside|Peak reactive hyperemia|Maximum hyperemia in response to heating|Cognitive function|Insulin sensitivity","University of Exeter","All","35 Years to 75 Years   (Adult, Older Adult)","Not Applicable","44","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CRF035","December 2009","August 2012","February 2015","September 3, 2019",,"September 3, 2019","NIHR Exeter Clinical Research Facility, Exeter, Devon, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04076007"
284,"NCT03970161","Evaluation of Early Retinal Nerve Injury in Type 2 Diabetes Patients Without Diabetic Retinopathy",,"Recruiting","No Results Available","Diabetes Mellitus|Diabetic Retinopathy|Nerve Injury","Device: routine ophthalmic examination","Peripapillary RNFL thickness|GCL+ in the macular area obtained using the 3D wide mode|Retinal thickness in all macular regions|RNFL thickness in the macular area obtained using the 3D Macula (v) mode|GCL+ thickness in the macular region obtained using the 3D Macula (v) mode","Third Affiliated Hospital, Sun Yat-Sen University","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","720","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Retinal nerve injury in T2DM","May 29, 2019","June 1, 2021","June 1, 2021","May 31, 2019",,"May 31, 2019","The third affiliated hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03970161"
285,"NCT03868813","An Artificial Intelligence Assisted Telehealth Intervention to Promote Self-Management in Patients With Type 2 Diabetes Mellitus (Qualitative Interview)",,"Recruiting","No Results Available","Diabetes Mellitus","Behavioral: Semi-structured Interview","Users' Expectation from a Health Coaching System","University of Alabama at Birmingham","All","18 Years to 80 Years   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","UAB-DRC-2019-1","July 1, 2019","July 2020","July 2020","March 11, 2019",,"July 9, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT03868813"
286,"NCT04157673","Imagine to Remember: Improving Medication Adherence in Pre- and Type 2 Diabetes",,"Recruiting","No Results Available","Medication Adherence","Behavioral: Episodic Future Thinking introduced at 6 weeks|Behavioral: Episodic Future Thinking introduced at 8 weeks|Behavioral: Episodic Future Thinking introduced at 10 weeks","Medication Adherence|Prospective memory|Delay Discounting|Working Memory","State University of New York at Buffalo","All","18 Years and older   (Adult, Older Adult)","Not Applicable","12","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","FWA00008824","September 1, 2019","May 1, 2020","May 1, 2020","November 8, 2019",,"February 25, 2020","University at Buffalo, Department of Pediatrics, Division of Behavioral Medicine, Buffalo, New York, United States",,"https://ClinicalTrials.gov/show/NCT04157673"
287,"NCT04173117","Feasibility of Low Energy Diet in HFpEF and Type 2 Diabetes","ALLEVIATE","Recruiting","No Results Available","Dietary Exposure","Dietary Supplement: Low energy meal replacement plan (12 weeks)","Recruitment and retention rates|Differences in 6 minute walk test pre- and post intervention|Differences in cardiopulmonary exercise test (peak VO2) pre- and post intervention|Differences in LV remodelling (indexed LV mass) pre- and post intervention|Differences in LV function pre- and post intervention|Differences in E/A ratio pre- and post intervention|Differences in E (cm/s) pre- and post intervention|Differences in MV deceleration time (ms) pre- and post intervention|Differences in A (cm/s) pre- and post intervention|Differences in Septal e' pre- and post intervention|Differences in Lateral e' pre- and post intervention|Differences in Septal E/e' pre- and post intervention|Differences in Lateral E/e' pre- and post intervention|Differences in Average E/e' pre- and post intervention|Differences in LA volume indexed pre- and post intervention|Differences in TR jet velocity (m/s) pre- and post intervention|Differences in BMI pre- and post intervention|Differences in Bone Mineral Density (g/cm2) pre- and post intervention|Differences in Total Fat mass (g) pre- and post intervention|Differences in Total tissue fat (%) pre- and post intervention|Differences in visceral adipose tissue mass (g) pre- and post intervention|Differences in visceral adipose tissue volume (cm3) pre- and post intervention|Differences in Total lean body mass (g) pre- and post intervention|Difference in World Health Organisation Disability Schedule (WHODAS 2.0) pre- and post intervention|Difference in Medical Research Council Dyspnoea Scale pre- and post intervention|Difference in Minnesota Living with heart Failure Questionnaire pre- and post intervention|Differences in Fasting Glucose (mmol/L) pre- and post intervention|Differences in HbA1c (%) pre- and post intervention|Differences in HbA1c (mmol/mol) pre- and post intervention|Differences in B-type (ng/L) natriuretic peptide pre- and post intervention|Differences in hs-troponin (ng/L) natriuretic peptide pre- and post intervention|Differences in CRP (mg/L), natriuretic peptide pre- and post intervention|Differences in albumin concentration pre- and post intervention|Differences in albumin/creatinine ratio concentration pre- and post intervention|Differences in sodium (mmol/L) pre- and post intervention|Differences in potassium (mmol/L) pre- and post intervention|Differences in Urea (mmol/L) pre- and post intervention|Differences in creatinine (umol/L) pre- and post intervention|Differences in eGFR (ml/min) pre- and post intervention|Differences in hsTnl(ng/L) pre- and post intervention|Differences in hALT (iu/L) pre- and post intervention|Differences in ALP (iu/L)pre- and post intervention|Differences in LDL (mmol/L) pre- and post intervention|Differences in kidney function pre- and post intervention|Differences in liver function pre- and post intervention|Differences in the levels of physical activity pre- and post intervention|Cardiac rehabilitation uptake|The number of participants who experience any Major Adverse Cardiovascular Events (MACE)","University of Leicester","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0699","February 28, 2020","July 1, 2021","December 1, 2021","November 21, 2019",,"March 10, 2020","Cardiovascular Research Centre (Glenfield Hospital), Leicester, Leicestershire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04173117"
288,"NCT04094415","A Research Study Looking at How Semaglutide Works in People With Type 2 Diabetes in Italy, as Part of Local Clinical Practice","SURE ITALY","Enrolling by invitation","No Results Available","Diabetes Mellitus, Type 2","Drug: Semaglutide","Change in Glycated Haemoglobin A1c (HbA1c) (measured in percent)|Change in HbA1c (measured in mmol/mol)|Change in body weight (measured in kg)|Change in body weight (measured in percent)|Change in waist circumference|HbA1c level at end of study: below 8.0% (64 mmol/mol) (yes/no)|HbA1c level at end of study: below 7.5% (59 mmol/mol) (yes/no)|HbA1c level at end of study: below 7.0% (53 mmol/mol) (yes/no)|Reduction in HbA1c from baseline to end of study of 1.0% point or more (Y/N)|Weight reduction of 3.0% or more (yes/no)|Weight reduction of 5.0% or more (yes/no)|HbA1c reduction of 1.0% point or more and weight reduction of 3.0% or more (yes/no)|Patient reported severe or documented hypoglycaemia (yes/no)|Change in score for Diabetes Treatment Satisfaction Questionnaire - Status (DTSQs) (absolute treatment satisfaction): Total treatment satisfaction|Change in score for Diabetes Treatment Satisfaction Questionnaire - Change (DTSQc) (relative treatment satisfaction): Total treatment satisfaction )|Change in score for Short Form (SF)-36 v2: Physical summary component|Change in score for SF-36 v2: Mental summary component|Patient completed the study under treatment with semaglutide (yes/no)","Novo Nordisk A/S","All","18 Years and older   (Adult, Older Adult)",,"520","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","NN9535-4549|U1111-1233-2023","October 28, 2019","June 24, 2021","June 24, 2021","September 19, 2019",,"June 4, 2020","Novo Nordisk Investigational Site, Bagno a Ripoli, Italy|Novo Nordisk Investigational Site, Bergamo, Italy|Novo Nordisk Investigational Site, Bergamo, Italy|Novo Nordisk Investigational Site, Brindisi, Italy|Novo Nordisk Investigational Site, Casarano (Lecce), Italy|Novo Nordisk Investigational Site, Catanzaro, Italy|Novo Nordisk Investigational Site, Chieri Torino, Italy|Novo Nordisk Investigational Site, Foggia, Italy|Novo Nordisk Investigational Site, Gaeta, Italy|Novo Nordisk Investigational Site, Milano, Italy|Novo Nordisk Investigational Site, Milano, Italy|Novo Nordisk Investigational Site, Napoli, Italy|Novo Nordisk Investigational Site, Napoli, Italy|Novo Nordisk Investigational Site, Negrar (VR), Italy|Novo Nordisk Investigational Site, Orbassano, Italy|Novo Nordisk Investigational Site, Pavia, Italy|Novo Nordisk Investigational Site, Prato, Italy|Novo Nordisk Investigational Site, Roma, Italy|Novo Nordisk Investigational Site, Roma, Italy|Novo Nordisk Investigational Site, Rome, Italy|Novo Nordisk Investigational Site, Rozzano (MI), Italy|Novo Nordisk Investigational Site, Sesto San Giovanni (MI), Italy|Novo Nordisk Investigational Site, Treviglio (Bergamo), Italy|Novo Nordisk Investigational Site, Treviso, Italy|Novo Nordisk Investigational Site, Udine, Italy|Novo Nordisk Investigational Site, Vicenza, Italy|Novo Nordisk Investigational Site, Vicenza, Italy|Novo Nordisk Investigational Site, Vigevano, Italy",,"https://ClinicalTrials.gov/show/NCT04094415"
289,"NCT04067999","A Research Study Looking at How Semaglutide Works in People With Type 2 Diabetes in Spain, as Part of Local Clinical Practice","SURE SPAIN","Enrolling by invitation","No Results Available","Diabetes Mellitus, Type 2","Drug: Semaglutide","Change in Glycated Haemoglobin A1c (HbA1c) (measured in percent)|Change in Glycated Haemoglobin A1c (HbA1c) (measured in mmol/mol)|Change in body weight (measured in kg)|Change in body weight (measured in percent)|Change in waist circumference|HbA1c level at end of study: below 8.0% (64 mmol/mol) (yes/no)|HbA1c level at end of study: below 7.5% (59 mmol/mol) (yes/no)|HbA1c level at end of study: below 7.0% (53 mmol/mol) (yes/no)|Reduction in HbA1c from baseline to end of study of 1.0% point or more (Y/N)|Weight reduction of 3.0% or more (yes/no)|Weight reduction of 5.0% or more (yes/no)|HbA1c reduction of 1.0% point or more and weight reduction of 3.0% or more (yes/no)|Patient reported severe or documented hypoglycaemia (yes/no)|Change in score for Diabetes Treatment Satisfaction Questionnaire - Status (DTSQs) (absolute treatment satisfaction): Total treatment satisfaction|Change in score for Diabetes Treatment Satisfaction Questionnaire - Change (DTSQc) (relative treatment satisfaction): Total treatment satisfaction )|Change in score for Short Form (SF)-36 v2: Physical summary component|Change in score for SF-36 v2: Mental summary component|Patient completed the study under treatment with semaglutide (yes/no)","Novo Nordisk A/S","All","18 Years and older   (Adult, Older Adult)",,"217","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","NN9535-4368|U1111-1217-3546","August 5, 2019","June 22, 2021","June 22, 2021","August 28, 2019",,"April 17, 2020","Novo Nordisk Investigational Site, A Coruña, Spain|Novo Nordisk Investigational Site, Baracaldo, Spain|Novo Nordisk Investigational Site, Barcelona, Spain|Novo Nordisk Investigational Site, Barcelona, Spain|Novo Nordisk Investigational Site, Bilbao, Spain|Novo Nordisk Investigational Site, Ferrol, Spain|Novo Nordisk Investigational Site, Galdakao, Spain|Novo Nordisk Investigational Site, Las Palmas de Gran Canaria, Spain|Novo Nordisk Investigational Site, Oviedo, Spain|Novo Nordisk Investigational Site, Pamplona, Spain|Novo Nordisk Investigational Site, Pontevedra, Spain|Novo Nordisk Investigational Site, Ribadeo, Spain|Novo Nordisk Investigational Site, Salamanca, Spain|Novo Nordisk Investigational Site, Valladolid, Spain|Novo Nordisk Investigational Site, Vigo, Spain|Novo Nordisk Investigational Site, Álava, Spain",,"https://ClinicalTrials.gov/show/NCT04067999"
290,"NCT04136730","Effects of Home- and Gym-based Resistance Exercise on Body Composition, Muscle Strength and Glycemic Control in People With Type 2 Diabetes.",,"Recruiting","No Results Available","Diabetes","Behavioral: Home-based|Behavioral: Gym-based","HbA1c|Fat-free mass|SPPB","Dasman Diabetes Institute|University of Glasgow","All","21 Years and older   (Adult, Older Adult)","Not Applicable","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HM-2019-021","August 1, 2019","August 2020","August 2020","October 23, 2019",,"October 23, 2019","Dasman Diabetes Institute, Kuwait City, Kuwait",,"https://ClinicalTrials.gov/show/NCT04136730"
291,"NCT04125160","Glycaemic Markers in Persons With Type 2 Diabetes on Peritoneal Dialysis",,"Recruiting","No Results Available","HbA1c|Peritoneal Diseases|Glycated Albumin|Fructosamine|Continuous Glucose Monitoring","Device: Continuous glucose monitoring|Diagnostic Test: Glycaemic markers","HbA1c evaluated by the total mean glucose from continuous glucose monitoring|Glycated albumin|Fructosamine|Standard deviation|Coefficient variation|Low Blood Glucose Index|High Blood Glucose Index|Time in hypoglycaemic range below 3.0 mmol/l|Time in hypoglycaemic range below 3.9 mmol/l to 3.0 mmol/l|Time in hyperglycaemic range above 10.0 mmol/l|Time in hyperglycaemic range above 13.9 mmol/l|Hypoglycaemic events","Rigshospitalet, Denmark|Steno Diabetes Center Copenhagen|Zealand University Hospital|Herlev Hospital|Hillerod Hospital, Denmark","All","18 Years to 90 Years   (Adult, Older Adult)",,"52","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","GLYCO-PD","November 12, 2019","September 2020","September 2020","October 14, 2019",,"November 13, 2019","Herlev Hospital, Copenhagen, Denmark|Rigshospitalet department of endocrinology, Copenhagen, Denmark|Hillerød Hospital, Hillerød, Denmark|Rigshospitalet department of nephrology, København Ø, Denmark|Roskilde Hospital, Roskilde, Denmark",,"https://ClinicalTrials.gov/show/NCT04125160"
292,"NCT03989232","A Research Study to Compare Two Doses of Semaglutide Taken Once Weekly in People With Type 2 Diabetes","SUSTAIN FORTE","Active, not recruiting","No Results Available","Diabetes Mellitus, Type 2","Drug: Semaglutide|Drug: Placebo (semaglutide)","Change in HbA1c|Change in body weight (kg)|Change in fasting plasma glucose (FPG)|Change in body mass index (BMI)|Change in waist circumference|HbA1c below 7%|HbA1c equal to or below 6.5%|Weight loss equal to or above 5%|Weight loss equal to or above 10%|Number of treatment emergent severe or blood glucose confirmed symptomatic hypoglycaemic episodes|Change in pulse rate","Novo Nordisk A/S","All","18 Years and older   (Adult, Older Adult)","Phase 3","964","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NN9535-4506|U1111-1224-5162|2018-004529-96","June 19, 2019","September 16, 2020","November 11, 2020","June 18, 2019",,"January 18, 2020","Novo Nordisk Investigational Site, Birmingham, Alabama, United States|Novo Nordisk Investigational Site, Chandler, Arizona, United States|Novo Nordisk Investigational Site, Glendale, Arizona, United States|Novo Nordisk Investigational Site, Mesa, Arizona, United States|Novo Nordisk Investigational Site, Phoenix, Arizona, United States|Novo Nordisk Investigational Site, Buena Park, California, United States|Novo Nordisk Investigational Site, Fresno, California, United States|Novo Nordisk Investigational Site, Los Angeles, California, United States|Novo Nordisk Investigational Site, San Diego, California, United States|Novo Nordisk Investigational Site, Spring Valley, California, United States|Novo Nordisk Investigational Site, Van Nuys, California, United States|Novo Nordisk Investigational Site, Walnut Creek, California, United States|Novo Nordisk Investigational Site, Colorado Springs, Colorado, United States|Novo Nordisk Investigational Site, Coral Gables, Florida, United States|Novo Nordisk Investigational Site, Hollywood, Florida, United States|Novo Nordisk Investigational Site, Jacksonville, Florida, United States|Novo Nordisk Investigational Site, Adairsville, Georgia, United States|Novo Nordisk Investigational Site, Atlanta, Georgia, United States|Novo Nordisk Investigational Site, Roswell, Georgia, United States|Novo Nordisk Investigational Site, Meridian, Idaho, United States|Novo Nordisk Investigational Site, Chicago, Illinois, United States|Novo Nordisk Investigational Site, Gillespie, Illinois, United States|Novo Nordisk Investigational Site, Peoria, Illinois, United States|Novo Nordisk Investigational Site, Topeka, Kansas, United States|Novo Nordisk Investigational Site, Lexington, Kentucky, United States|Novo Nordisk Investigational Site, Louisville, Kentucky, United States|Novo Nordisk Investigational Site, Lake Charles, Louisiana, United States|Novo Nordisk Investigational Site, Sterling Heights, Michigan, United States|Novo Nordisk Investigational Site, Jefferson City, Missouri, United States|Novo Nordisk Investigational Site, Butte, Montana, United States|Novo Nordisk Investigational Site, Trenton, New Jersey, United States|Novo Nordisk Investigational Site, New Windsor, New York, United States|Novo Nordisk Investigational Site, Chapel Hill, North Carolina, United States|Novo Nordisk Investigational Site, Greensboro, North Carolina, United States|Novo Nordisk Investigational Site, Salisbury, North Carolina, United States|Novo Nordisk Investigational Site, Statesville, North Carolina, United States|Novo Nordisk Investigational Site, Wilmington, North Carolina, United States|Novo Nordisk Investigational Site, Columbus, Ohio, United States|Novo Nordisk Investigational Site, Mason, Ohio, United States|Novo Nordisk Investigational Site, Norman, Oklahoma, United States|Novo Nordisk Investigational Site, Corvallis, Oregon, United States|Novo Nordisk Investigational Site, Gaffney, South Carolina, United States|Novo Nordisk Investigational Site, Greenville, South Carolina, United States|Novo Nordisk Investigational Site, Chattanooga, Tennessee, United States|Novo Nordisk Investigational Site, Kingsport, Tennessee, United States|Novo Nordisk Investigational Site, Memphis, Tennessee, United States|Novo Nordisk Investigational Site, Dallas, Texas, United States|Novo Nordisk Investigational Site, Dallas, Texas, United States|Novo Nordisk Investigational Site, Houston, Texas, United States|Novo Nordisk Investigational Site, Humble, Texas, United States|Novo Nordisk Investigational Site, Hurst, Texas, United States|Novo Nordisk Investigational Site, Katy, Texas, United States|Novo Nordisk Investigational Site, Plano, Texas, United States|Novo Nordisk Investigational Site, San Antonio, Texas, United States|Novo Nordisk Investigational Site, San Antonio, Texas, United States|Novo Nordisk Investigational Site, Shavano Park, Texas, United States|Novo Nordisk Investigational Site, Sugar Land, Texas, United States|Novo Nordisk Investigational Site, Olympia, Washington, United States|Novo Nordisk Investigational Site, Walla Walla, Washington, United States|Novo Nordisk Investigational Site, Wenatchee, Washington, United States|Novo Nordisk Investigational Site, Kozloduy, Bulgaria|Novo Nordisk Investigational Site, Montana, Bulgaria|Novo Nordisk Investigational Site, Petrich, Bulgaria|Novo Nordisk Investigational Site, Sofia, Bulgaria|Novo Nordisk Investigational Site, Sofia, Bulgaria|Novo Nordisk Investigational Site, Stara Zagora, Bulgaria|Novo Nordisk Investigational Site, Yambol, Bulgaria|Novo Nordisk Investigational Site, Mount Pearl, Newfoundland and Labrador, Canada|Novo Nordisk Investigational Site, Brampton, Ontario, Canada|Novo Nordisk Investigational Site, Brampton, Ontario, Canada|Novo Nordisk Investigational Site, Etobicoke, Ontario, Canada|Novo Nordisk Investigational Site, London, Ontario, Canada|Novo Nordisk Investigational Site, Markham, Ontario, Canada|Novo Nordisk Investigational Site, Stoney Creek, Ontario, Canada|Novo Nordisk Investigational Site, Toronto, Ontario, Canada|Novo Nordisk Investigational Site, Ceske Budejovice, Czechia|Novo Nordisk Investigational Site, Praha 10, Czechia|Novo Nordisk Investigational Site, Praha 5, Czechia|Novo Nordisk Investigational Site, Vlasim, Czechia|Novo Nordisk Investigational Site, Athens, Greece|Novo Nordisk Investigational Site, Athens, Greece|Novo Nordisk Investigational Site, Athens, Greece|Novo Nordisk Investigational Site, Athens, Greece|Novo Nordisk Investigational Site, Athens, Greece|Novo Nordisk Investigational Site, Thessaloniki, Greece|Novo Nordisk Investigational Site, Thessaloniki, Greece|Novo Nordisk Investigational Site, Thessaloniki, Greece|Novo Nordisk Investigational Site, Budapest, Hungary|Novo Nordisk Investigational Site, Budapest, Hungary|Novo Nordisk Investigational Site, Budapest, Hungary|Novo Nordisk Investigational Site, Budapest, Hungary|Novo Nordisk Investigational Site, Budapest, Hungary|Novo Nordisk Investigational Site, Budapest, Hungary|Novo Nordisk Investigational Site, Debrecen, Hungary|Novo Nordisk Investigational Site, Debrecen, Hungary|Novo Nordisk Investigational Site, Kaposvár, Hungary|Novo Nordisk Investigational Site, Komarom, Hungary|Novo Nordisk Investigational Site, Szeged, Hungary|Novo Nordisk Investigational Site, Szekszárd, Hungary|Novo Nordisk Investigational Site, Tokyo, Japan|Novo Nordisk Investigational Site, Bialystok, Poland|Novo Nordisk Investigational Site, Bialystok, Poland|Novo Nordisk Investigational Site, Gdansk, Poland|Novo Nordisk Investigational Site, Gorzow Wielkopolski, Poland|Novo Nordisk Investigational Site, Katowice, Poland|Novo Nordisk Investigational Site, Lodz, Poland|Novo Nordisk Investigational Site, Lodz, Poland|Novo Nordisk Investigational Site, Lublin, Poland|Novo Nordisk Investigational Site, Warszawa, Poland|Novo Nordisk Investigational Site, Wroclaw, Poland|Novo Nordisk Investigational Site, Manati, Puerto Rico|Novo Nordisk Investigational Site, Bratislava, Slovakia|Novo Nordisk Investigational Site, Hnusta, Slovakia|Novo Nordisk Investigational Site, Kezmarok, Slovakia|Novo Nordisk Investigational Site, Kosice, Slovakia|Novo Nordisk Investigational Site, Krupina, Slovakia|Novo Nordisk Investigational Site, Levice, Slovakia|Novo Nordisk Investigational Site, Nove Zamky, Slovakia|Novo Nordisk Investigational Site, Pezinok, Slovakia|Novo Nordisk Investigational Site, Poprad, Slovakia|Novo Nordisk Investigational Site, Povazska Bystrica, Slovakia|Novo Nordisk Investigational Site, Puchov, Slovakia|Novo Nordisk Investigational Site, Dnipro, Ukraine|Novo Nordisk Investigational Site, Mykolaiv, Ukraine|Novo Nordisk Investigational Site, Ternopil, Ukraine|Novo Nordisk Investigational Site, Vinnytsia, Ukraine|Novo Nordisk Investigational Site, Zhytomyr, Ukraine",,"https://ClinicalTrials.gov/show/NCT03989232"
293,"NCT03881540","Efficacy of tDNA Care on Weight Loss and Metabolic Outcomes in Patients With Overweight, Obesity and Type 2 Diabetes",,"Completed","No Results Available","Diabetes|Obesity","Other: tDNA-MI group|Other: tDNA-CC group|Other: UC group","Change in Weight|Change in Glycated haemoglobin (A1C)|Change in percentage body fat|Change in fasting blood glucose|Change in total cholesterol, LDL-C and HDL-C|Change in High sensitivity C-Reactive Protein (HsCRP)|Change in systolic and diastolic blood pressure|Change in energy intake and macronutrients|Change in Weight Efficacy Lifestyle (WEL) scores|Change in exercise minutes","International Medical University","All","30 Years to 65 Years   (Adult, Older Adult)","Not Applicable","230","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IMU R 134/2014","June 2014","December 2015","December 2015","March 19, 2019",,"March 22, 2019","International Medical University, Kuala Lumpur, Malaysia",,"https://ClinicalTrials.gov/show/NCT03881540"
294,"NCT03794232","Effect of Inulin-type Fructose Extracted From Jerusalem Artichoke on Improving Prediabetic State of Type 2 Diabetes",,"Completed","No Results Available","Prediabetes","Dietary Supplement: NIUCHANG|Dietary Supplement: Placebo","Incidence of blood sugar reversal to normal after intervention|Changes in insulin resistance index|Changes in intestinal flora|Incidence of blood glucose stabilization in pre-diabetes after intervention|Incidence of blood glucose progression to diabetes after intervention|Hemoglobin A1C、Glycated Albumin|The levels of serum insulin|The levels of serum C-peptid|Body weight","Inuling (Bei Jing) Science and Technology Co. Ltd|Peking Union Medical College Hospital|Proswell Medical Corporation","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","246","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","S-749","May 30, 2016","April 4, 2018","April 4, 2018","January 4, 2019",,"January 7, 2019",,,"https://ClinicalTrials.gov/show/NCT03794232"
295,"NCT03899883","Uric Acid Lowering Trial in Youth Onset T2D","ULTRA-T2D","Recruiting","No Results Available","Diabetic Kidney Disease|Hyperuricemia|Diabetes|Diabetes Mellitus, Type 2|Type2 Diabetes|Type 2 Diabetes Mellitus|Diabetic Nephropathies|Diabetes Complications","Drug: Pegloticase 8 MG/ML [Krystexxa]","Cardiovascular Markers|Pulse Wave Velocity (PWV)|Wall Shear Stress (WSS)|Renal Blood Flow|Glomerular Filtration Rate|Albumin Excretion Rate (AER)|Calculated parameters of intrarenal hemodynamic function|Change in serum uric acid (sUA)","University of Colorado Denver School of Medicine Barbara Davis Center","Male","18 Years to 25 Years   (Adult)","Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-1700","January 1, 2020","May 31, 2020","December 31, 2020","April 2, 2019",,"March 23, 2020","Children's Hospital Colorado, Aurora, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT03899883"
