"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
687,"Self-compression Mammography in Clinical Practice","Active, not recruiting","No Results Available","Mammography|Breast Cancer","Other: Self compression arm","Arcispedale Santa Maria Nuova-IRCCS","RCT Pristina 2/TR","July 5, 2019","Laura Canovi, Reggio Emilia, RE, Italy","https://ClinicalTrials.gov/show/NCT04009278"
688,"Using Bupivacaine Locally in the Mastectomy Drains to Control Postoperative Pain","Completed","No Results Available","Pain, Postoperative|Breast Cancer","Drug: 40ml of 0.25% bupivacaine|Drug: 40ml of 0.9% normal saline","Alexandria University","malhussini001","January 10, 2019","Faculty of Medicine, Main Univeristy Hospital, Alexandria, Egypt","https://ClinicalTrials.gov/show/NCT03799757"
689,"Quality of Life, Aesthetic Result and Health Economy in Breast Reconstruction","Active, not recruiting","No Results Available","Breast Cancer Female|Surgery--Complications","Procedure: Breast reconstruction","Vastra Gotaland Region","Bröst-07:2-4","May 24, 2019",,"https://ClinicalTrials.gov/show/NCT03963427"
690,"Quantitative Evaluation of the Breast's Morphological Variations During Radiotherapy: MorphoBreast3D","Recruiting","No Results Available","Breast Cancer Female|Adjuvant Radiotherapy","Device: 3D surface scan","Centre Paul Strauss","2018-01|2017-A02489-44","January 14, 2019","Centre paul Strauss, Strasbourg, France","https://ClinicalTrials.gov/show/NCT03801850"
691,"Health and QoL in Oncological Patients: Management of Bone Pathology in Italian Citbl Population","Recruiting","No Results Available","Breast Cancer Female|Osteoporosis","Behavioral: Observational Analysis","Fondazione Policlinico Universitario Agostino Gemelli IRCCS","VIL-HEQ-17-014","August 14, 2019","Policlinico Agostino Gemelli, Roma, RM, Italy","https://ClinicalTrials.gov/show/NCT04055805"
692,"A Personalized Medicine Study for Patients With Advanced Cancer of the Breast, Prostate, Pancreas or Those With Refractory Acute Myelogenous Leukemia","Recruiting","No Results Available","Breast Cancer|Prostate Cancer|Pancreatic Cancer|Acute Myelogenous Leukemia","Procedure: Biopsy|Drug: ABIRATERONE|Drug: ENZALUTAMIDE|Drug: VENETOCLAX|Drug: PALBOCICLIB|Drug: All-trans Retinoic Acid|Drug: BORTEZOMIB|Drug: CABAZITAXEL|Drug: OXALIPLATIN|Drug: FLUOROURACIL|Drug: FOLINIC ACID|Drug: CARBOPLATIN|Drug: PANOBINOSTAT|Drug: VORINOSTAT|Drug: PEMBROLIZUMAB|Drug: BEVACIZUMAB|Drug: IPILIMUMAB|Drug: NIVOLUMAB|Drug: EVEROLIMUS|Drug: SIROLIMUS|Drug: CELECOXIB|Drug: OLAPARIB|Drug: AFATINIB|Drug: CABOZANTINIB|Drug: SORAFENIB|Drug: DASATINIB|Drug: ERLOTINIB|Drug: IDELALISIB|Drug: IMATINIB|Drug: LENVATINIB|Drug: PERTUZUMAB|Drug: PONATINIB|Drug: RUXOLITINIB|Drug: SUNITINIB|Drug: TRAMETINIB|Drug: VEMURAFENIB","OHSU Knight Cancer Institute|Oregon Health and Science University","STUDY00015588","March 18, 2019","OHSU Knight Cancer Institute, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT03878524"
693,"Hair-Safe Study: Scalp Cooling for Hair Saving in Women Undergoing Chemotherapy","Recruiting","No Results Available","Breast Cancer Female|Alopecia","Device: Paxman Scalp Cooling System|Other: Alopecia Assessments","Medical University Innsbruck","1049/2018","October 7, 2019","Medical University Innsbruck, Department of Gynaecology and Obstetrics, Innsbruck, Tyrol, Austria","https://ClinicalTrials.gov/show/NCT04117815"
694,"Fathers and Mothers Invested in Lives of Their Youth (FAMILY) Study: A Pilot Intervention","Recruiting","No Results Available","Metastatic Breast Cancer|Parenting","Behavioral: FAMILY Intervention","UNC Lineberger Comprehensive Cancer Center|National Cancer Institute (NCI)","LCCC1920|5K07CA218167-02","September 17, 2019","Lineberger Comprehensive Cancer Center at University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04092816"
695,"Investigating the Effectiveness of Stereotactic Body Radiotherapy (SBRT) in Addition to Standard of Care Treatment for Cancer That Has Spread Beyond the Original Site of Disease","Recruiting","No Results Available","Triple Negative Breast Cancer|Non Small Cell Lung Cancer|Metastatic Breast Cancer|Metastatic Non-Small Cell Lung Carcinoma","Radiation: Stereotactic Body Radiotherapy/SBRT|Drug: Systemic Therapy/Standard of Care","Memorial Sloan Kettering Cancer Center","18-486","January 17, 2019","Miami Cancer Institute, Miami, Florida, United States|Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memoral Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Cancer Center @ Commack, Commack, New York, United States|Memoral Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan - Kettering Cancer Center, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03808337"
696,"A Study to Evaluate Rucaparib in Combination With Other Anticancer Agents in Patients With a Solid Tumor (SEASTAR)","Recruiting","No Results Available","Ovarian Cancer|Triple-negative Breast Cancer|Urothelial Carcinoma|Solid Tumor","Drug: Rucaparib|Drug: Lucitanib|Drug: Sacituzumab govitecan","Clovis Oncology, Inc.|Immunomedics, Inc.","CO-338-098","June 20, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03992131"
697,"Intraoperative Molecular Diagnosis of Sentinel Lymph Node In Breast Cancer Patients","Recruiting","No Results Available","Sentinel Lymph Node Biopsy","Device: The OSNA assay","Shandong Cancer Hospital and Institute","OSNA","May 3, 2019","Breast Cancer Center, Shandong Cancer Hospital Affiliated to Shandong University, Jinan, China","https://ClinicalTrials.gov/show/NCT03937414"
698,"Nurse-Driven Telephone Intervention in Improving Side Effects in Cancer Patients Undergoing Chemotherapy","Completed","No Results Available","Breast Carcinoma|Head and Neck Carcinoma|Sarcoma","Other: Survey|Other: Survey Administration|Behavioral: Telephone-Based Intervention","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","2016-0300|NCI-2019-02651|P30CA016672","May 28, 2019","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03964896"
699,"Dibenzyl Trisulphide (GUINEAHEN WEED) for Stage IV Cancer","Recruiting","No Results Available","Stage IV Prostate Cancer|Stage IV Colon Cancer|Stage IV Breast Cancer|Stage IV Cancer of the Cervix","Drug: Dibenzyl trisulphide capsules|Drug: Stage IV Breast Cancer Placebo|Drug: Stage IV: Colon Cancer Placebo|Drug: Cervical Cancer Stage IV Placebo|Drug: Cancer of the Prostate Placebo","The University of The West Indies","ECP 250 - 15/16","October 2, 2019","Faculty of Medial Sciences, Kingston, Jamaica","https://ClinicalTrials.gov/show/NCT04113096"
700,"Plant Sterol INtervention for Cancer Prevention (PINC)","Recruiting","No Results Available","Hypercholesterolemia|Breast Cancer|Obesity","Dietary Supplement: Cholesterol Reducing Strawberry Yogurt Drink (Tesco Ltd)|Dietary Supplement: Low Fat Strawberry Yogurt Drinks (Morrisons Ltd)","University of Leeds|The Leeds Teaching Hospitals NHS Trust|University of Oslo","RD19/123502","November 1, 2019","University of Leeds, Leeds, West Yorkshire, United Kingdom","https://ClinicalTrials.gov/show/NCT04147767"
701,"A Study of Serum Folate Levels in Patients Treated With Olaparib","Not yet recruiting","No Results Available","Ovarian Cancer|Breast Cancer|Folic Acid Deficiency","Drug: Folic Acid Tablet","Rush University Medical Center","ESR-18-13807","July 18, 2019",,"https://ClinicalTrials.gov/show/NCT04024254"
702,"Acupuncture Treatment of Chemotherapy-Induced Peripheral Neuropathy in Women","Recruiting","No Results Available","Chemotherapy-induced Peripheral Neuropathy|Breast Cancer Female|Gynecologic Cancer","Device: Acupuncture","University of Utah","107709","August 26, 2019","Huntsman Cancer Institute, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT04067544"
703,"Study BT5528-100 in Patients With Advanced Solid Tumors Associated With EphA2 Expression","Recruiting","No Results Available","Non Small Cell Lung Cancer|Ovarian Cancer|Triple Negative Breast Cancer|Gastric Cancer|Pancreatic Cancer|Urothelial Cancer","Drug: BT5528|Drug: Nivolumab","Bicycle Tx Limited","BT5528-100","November 27, 2019","Florida Cancer Specialists, Sarasota, Florida, United States|Stephenson Cancer Center (Oklahoma University), Oklahoma City, Oklahoma, United States|Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Tennessee Oncology, PLLC, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT04180371"
704,"Negative Pressure Wound Therapy in Healing Abdominal Incision in Obese Patients Undergoing Breast Reconstruction Surgery","Recruiting","No Results Available","Body Mass Index Greater Than or Equal to 30|Malignant Breast Neoplasm|Mammoplasty Patient|Obesity","Procedure: Negative Pressure Wound Therapy|Procedure: Wound Care Management","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","2018-0004|NCI-2019-02777|P30CA016672","July 1, 2019","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04003038"
705,"Opera® for Aromatase Inhibitor-related Arthralgia Management (AIA)","Completed","No Results Available","Breast Cancer|Hormone Receptor Positive Tumor|Arthralgia","Dietary Supplement: OPERA","Azienda Ospedaliero-Universitaria Careggi","OPERA2","November 13, 2019","Azienda Ospedaliero Universitaria Careggi, Florence, Italy","https://ClinicalTrials.gov/show/NCT04161833"
706,"Study of Safety and Efficacy of DKY709 Alone or in Combination With PDR001 in Patients With Advanced Solid Tumors.","Recruiting","No Results Available","Carcinoma, Non-Small-Cell Lung|Melanoma|Nasopharyngeal Carcinoma|Microsatellite Stable Colorectal Cancer|Triple Negative Breast Cancer","Drug: DKY709|Drug: PDR001","Novartis Pharmaceuticals|Novartis","CDKY709A12101C","March 27, 2019","Novartis Investigative Site, Boston, Massachusetts, United States|Novartis Investigative Site, Nashville, Tennessee, United States|Novartis Investigative Site, Essen, Germany|Novartis Investigative Site, Shatin, New Territories, Hong Kong|Novartis Investigative Site, Chuo ku, Tokyo, Japan","https://ClinicalTrials.gov/show/NCT03891953"
707,"Vaccine Response With NT-I7","Not yet recruiting","No Results Available","Breast Carcinoma|Colorectal Adenocarcinoma|Bladder Carcinoma","Biological: Recombinant human IL-7-hyFc (NT-I7)|Biological: Vaccine sequence 1|Biological: Vaccine sequence 2","National Cancer Institute (NCI)|NeoImmuneTech, Inc.|National Institutes of Health Clinical Center (CC)","190134|19-C-0134","August 13, 2019","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT04054752"
708,"Sequentional Immuno Apheresis Plasma Volume Escalation Cohort Study of Removal of Soluble Tumor Necrosis Factor Receptors 1 and 2 (sTNFR1/2) With or Without Nivolumab in Patients With Inoperable or Metastatic Solid Tumors","Recruiting","No Results Available","Stage IV Non-small Cell Lung Cancer|Stage IV Melanoma|Triple Negative Breast Cancer|Renal Cell Carcinoma Stage IV","Combination Product: ImmunicomAIAC","Prof. Gal Markel|Sheba Medical Center","SHEBA-19-6136-GM-CTIL","October 29, 2019","Sheba Medical Center, Ramat Gan, Israel","https://ClinicalTrials.gov/show/NCT04142931"
709,"Support Program for Adoption of Cancer Screening Interventions at a Rural Community-Based Organization","Not yet recruiting","No Results Available","Breast Carcinoma|Cervical Carcinoma|Colorectal Carcinoma","Other: Training|Other: Cancer Screening intervention","Fred Hutchinson Cancer Research Center|National Cancer Institute (NCI)","RG1006143|NCI-2019-08033|P30CA015704","December 23, 2019","Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04208724"
710,"The Effect of Acupuncture on Cancer-Related Cognitive Difficulties","Recruiting","No Results Available","Stage I Breast Cancer|Stage II Breast Cancer|Stage III Breast Cancer|Stage I Colorectal Cancer|Stage II Colorectal Cancer|Stage III Colorectal Cancer|Gynecologic Cancer|Stage I Gynecologic Cancer|Stage II Gynecologic Cancer|Stage III Gynecologic Cancer","Other: Acupuncture|Other: Sham Acupuncture|Other: 8 week waiting period + optional Acupuncture","Memorial Sloan Kettering Cancer Center","19-179","July 5, 2019","Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memoral Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States","https://ClinicalTrials.gov/show/NCT04007770"
711,"Anthracycline Induced Cardiotoxicity - Early Detection by Combination of Diastolic Strain and T2-mapping","Recruiting","No Results Available","Breast Cancer|Myocardial Damage|Cardiotoxicity","Diagnostic Test: Cardiac MRI and echocardiography, laboratory parameters","Heinrich-Heine University, Duesseldorf","15-002","May 7, 2019","Division of Cardiology, Pulmonary Disease and Vascular Medicine, Dusseldorf, Germany","https://ClinicalTrials.gov/show/NCT03940625"
712,"A Vaccine (H2NVAC) Before Surgery for the Treatment of HER2-Expressing Ductal Carcinoma In Situ","Recruiting","No Results Available","Ductal Breast Carcinoma In Situ|HER2/Neu Positive","Biological: Granulocyte-Macrophage Colony-Stimulating Factor|Biological: Multi-epitope HER2 Peptide Vaccine H2NVAC|Procedure: Therapeutic Conventional Surgery","Mayo Clinic|National Cancer Institute (NCI)","MC1713|NCI-2019-07002|P30CA015083","October 30, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04144023"
713,"Atezolizumab Combined With Intratumoral G100 AnD Immunogenic Radiotherapy in Patients With Advanced Solid Tumors","Not yet recruiting","No Results Available","Solid Tumor, Adult|Pancreatic Cancer|Virus-associated Tumors|Non Small Cell Lung Cancer|Melanoma|Bladder Cancer|Triple Negative Breast Cancer","Drug: Association atezolizumab + G100 + RT","Institut Bergonié|Roche Pharma AG|National Cancer Institute, France|Immune Design","IB 2019-01|2019-000850-78","April 16, 2019","Institut Bergonié, Bordeaux, France|Centre Georges François Leclerc, Dijon, France|Centre Oscar Lambret, Lille Cedex, France|Centre Léon Bérard, Lyon Cedex 08, France|Institut Paoli Calmettes, Marseille, France|Institut du Cancer de Montpellier, Montpellier, France|Institut Curie, Paris, France|Institut de Cancérologie de l'Ouest - Site René Gauducheau, Saint-Herblain, France|IUCT Oncopôle, Toulouse, France|Institut Gustave Roussy, Villejuif Cedex, France","https://ClinicalTrials.gov/show/NCT03915678"
714,"A Dose Escalation and Expansion Study of TRX518 in Combination With Cyclophosphamide Plus Avelumab in Advanced Solid Tumors","Active, not recruiting","No Results Available","Solid Tumors|Advanced Triple Negative Breast Cancer|Advanced Hormone Receptor Positive/Endocrine Refractory Breast Cancer|Advanced Metastatic Castration-Resistant Prostate Cancer|Advanced Platinum-Resistant Ovarian Cancer","Drug: TRX518|Drug: Cyclophosphamide|Drug: Avelumab","Leap Therapeutics, Inc.|Pfizer|Merck KGaA, Darmstadt, Germany","TRX518-004","March 4, 2019","Horizon Oncology Research, Lafayette, Indiana, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT03861403"
715,"Basket Trial for Combination Therapy With Durvalumab (Anti-PDL1) (MEDI4736) and Tremelimumab (Anti-CTLA4) in Patients With Metastatic Solid Tumors","Active, not recruiting","No Results Available","Metastatic Colorectal Cancer|Triple Negative Breast Cancer|Prostate Adenocarcinoma|Stomach Adenocarcinoma|Esophageal Adenocarcinoma","Drug: Tremelimumab|Drug: Durvalumab","Gustave Roussy, Cancer Campus, Grand Paris","2018-003115-21|2018/2798","June 11, 2019","Gustave Roussy, Villejuif, Val De Marne, France","https://ClinicalTrials.gov/show/NCT03982173"
716,"A Study Evaluating the Safety, Pharmacokinetics and Efficacy of Ipatasertib Administered in Combination With Rucaparib in Participants With Advanced Breast, Ovarian Cancer, and Prostate Cancer.","Recruiting","No Results Available","Breast Cancer|Prostate Cancer|Ovarian Cancer","Drug: Part 1, Dose Level 1 and Dose Level 2a: Ipatasertib|Drug: Part 1, Dose level 2b and dose level 3: Ipatasertib|Drug: Part 1, Dose Level 1 and Dose Level 2b: Rucaparib|Drug: Part 1, Dose Level 2a and Dose Level 3: Rucaparib","Hoffmann-La Roche","BO40933","February 15, 2019","California Cancer Associates for Research & Excellence, Inc., Encinitas, California, United States|Regional Cancer Care Associates LLC, Central Jersey Division, East Brunswick, New Jersey, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|Mary Crowley Medical Research Center; Oncology, Dallas, Texas, United States|Kinghorn Cancer Centre; St Vincents Hospital, Darlinghurst, New South Wales, Australia|Macquarie University Hospital, Sydney, New South Wales, Australia|Cabrini Hospital Malvern, Malvern, Victoria, Australia|Istituto Nazionale Tumori Regina Elena IRCCS, Roma, Lazio, Italy|Fondazione IRCCS Istituto Nazionale dei Tumori; S. C. Oncologia Medica 2, Milano, Lombardia, Italy|Azienda Ospedaliera Santa Maria di Terni, Terni, Umbria, Italy|Istituto Oncologico Veneto IRCCS, Padova, Veneto, Italy|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Yonsei University, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Vall d´Hebron Institute of Oncology (VHIO), Barcelona, Barcelona, Spain|Hospital Universitario Virgen de la Victoria, Malaga, Spain","https://ClinicalTrials.gov/show/NCT03840200"
717,"A Study to Determine the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of ABBV-927 With ABBV-368, Budigalimab (ABBV-181) and/or Chemotherapy in Participants With Locally Advanced or Metastatic Solid Tumors","Recruiting","No Results Available","Cancer|Advanced Solid Tumors|Triple-Negative Breast Cancer (TNBC)|Non-small-cell-lung-cancer (NSCLC)|Metastatic Solid Tumors","Drug: ABBV-927|Drug: ABBV-368|Drug: ABBV-181|Drug: Carboplatin|Drug: Nab-paclitaxel","AbbVie","M19-037|2019-000478-45","March 28, 2019","St Jude Hospital dba St Joseph /ID# 211130, Santa Rosa, California, United States|Yale University /ID# 210678, New Haven, Connecticut, United States|Carolina BioOncology Institute /ID# 210664, Huntersville, North Carolina, United States|Mary Crowley Cancer Research /ID# 210716, Dallas, Texas, United States|NEXT Oncology /ID# 210717, San Antonio, Texas, United States|Virginia Cancer Specialists /ID# 210671, Fairfax, Virginia, United States|Gustave Roussy /ID# 213052, Villejuif, Ile-de-France, France|Institut de Cancer de l'Ouest /ID# 212880, Angers, France|Hopital Bichat-Claude Bernard /ID# 212869, Paris, France|Sheba Medical Center /ID# 211699, Ramat Gan, Israel|Hospital Vall d'Hebron /ID# 212804, Barcelona, Spain|Hospital Universitario Fundacion Jimenez Diaz /ID# 212806, Madrid, Spain|Hosp Univ Madrid Sanchinarro /ID# 212805, Madrid, Spain|National Cheng Kung University Hospital /ID# 210994, Tainan City, Tainan, Taiwan|National Taiwan University Hospital /ID# 210993, Taipei City, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT03893955"
718,"Physical Activity Intervention for Young Cancer Survivors","Active, not recruiting","No Results Available","Breast Cancer|Quality of Life|Physical Activity","Behavioral: Exercise Intervention","University of California, San Diego|Haus of Volta","181367","August 22, 2019","University of California, San Diego, La Jolla, California, United States","https://ClinicalTrials.gov/show/NCT04064892"
719,"HeartPhone Cancer Survivors Trial 2019","Recruiting","No Results Available","Breast Cancer|Leukemia|Lymphoma","Behavioral: HeartPhone app|Drug: Acetylcholine|Drug: Sodium Nitroprusside|Drug: L-Arginine, N2-((4-Methylphenyl)Sulfonyl)-, Methyl Ester","Penn State University","00011271","May 16, 2019","The Pennsylvania State University, University Park, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03953326"
720,"Assessment of Outpatient Digital Follow-up of Patients Over 70 Years of Age Undergoing Chemotherapy Treatment","Not yet recruiting","No Results Available","Breast Cancer|Colorectal Cancer|Lung Cancer","Device: IPC NET","Institut Paoli-Calmettes","E-SN@P PROJECT-IPC 2017-029","May 22, 2019","Institut Sainte Catherine, Avignon, France|CHI des Alpes du Sud, Gap, France|Institut Paoli-Calmettes, Marseille, France|CHU Nice, Nice, France","https://ClinicalTrials.gov/show/NCT03959774"
721,"A Digimed Oncology PharmacoTherapy Registry","Active, not recruiting","No Results Available","Colon Cancer|Breast Cancer|Rectal Cancer","Other: DigiMeds","Proteus Digital Health, Inc.","PRO 1676","September 13, 2019","Carolina Blood and Cancer Care, Rock Hill, South Carolina, United States","https://ClinicalTrials.gov/show/NCT04088955"
722,"PBMT for the Management of CIA ( HAIRLASER )","Not yet recruiting","No Results Available","Breast Cancer|Chemotherapy-induced Alopecia|Alopecia","Device: Photobiomodulation therapy|Device: Sham photobiomodulation therapy","Hasselt University|Jessa Hospital","19.58/ONCO19.08","July 30, 2019","Jessa Ziekenhuis, Hasselt, Belgium","https://ClinicalTrials.gov/show/NCT04036994"
723,"Involvement of SK3 Calcium Channel in Taxane Neuropathy","Recruiting","No Results Available","Breast Cancer|Chemotherapy-induced Peripheral Neuropathy|Prostate Cancer","Other: Blood samples","University Hospital, Tours","RIPH3-RNI18/NEUROTAX|2018-A02884-51","January 25, 2019","Department of Oncology, Hospital, Chinon, Chinon, France|Department of Medical Oncology, University Hospital, Tours, Tours, France","https://ClinicalTrials.gov/show/NCT03816904"
724,"Glucose Monitoring to Predict and Treat High Glucose Levels After Steroid Treatment","Recruiting","No Results Available","Breast Cancer|Pre Diabetes|Diabetes",,"Memorial Sloan Kettering Cancer Center","19-315","December 24, 2019","Memorial Sloan Kettering Cancer Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04210128"
725,"Comparison of pCR Rate After Neadjuvant Chemotherapy Guided by Result of in Vitro Cell Culture Drug Sensitivity or Physician's Choice","Not yet recruiting","No Results Available","Breast Cancer|Neoadjuvant Chemotherapy|Drug Effect","Combination Product: treatment of drug screening","Peking University People's Hospital","PKUPH10B001","October 17, 2019","Peking University People'S Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04130750"
726,"Seroma Reduction and Drain Free Mastectomy","Not yet recruiting","No Results Available","Breast Cancer|Seroma|Wound Complication","Procedure: No drain|Procedure: With drain","Zuyderland Medisch Centrum","METCZ2019016","July 29, 2019","Zuyderland Medisch Centrum, Sittard, Limburg, Netherlands","https://ClinicalTrials.gov/show/NCT04035590"
727,"Safety and Effectiveness of MPCD Therapy on the Treatment of Malignant Pleural Effusion","Not yet recruiting","No Results Available","Lung Cancer|Breast Cancer|Malignant Pleural Effusion","Drug: microparticles packaging methotrexate (MPs-MTX)|Drug: recombinant human interleukin-2(rhIL-2)","Peking Union Medical College","NCC20180327","October 18, 2019",,"https://ClinicalTrials.gov/show/NCT04131231"
728,"EHR-embedded OCDT in Breast or GI Cancer","Recruiting","No Results Available","Oral Cancer Directed Therapy|Breast Cancer|Gastrointestinal Cancer|Oral Chemotherapy","Other: Active Care Team Alert|Other: Passive Care Team Alert","Dana-Farber Cancer Institute","18-571","March 1, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03858712"
729,"BReast CAncer Genes(BRCA) Expressions in Metastatic Gastric Cancer","Recruiting","No Results Available","BRCA Gene Rearrangement","Genetic: BRCA 1|Drug: Chemotherapy","Chung-Ang University","1771-001-287","February 12, 2019","Chung-Ang University College of Medicine, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT03838406"
730,"Evolution of the Physical Condition in Treated Cancer Patients","Recruiting","No Results Available","Non-small Cell Lung Cancer Metastatic|Breast Cancer Female|Colon Cancer","Other: Adaptated Physical Activity","Centre Paul Strauss","2019-001|2019-A00848-49","May 21, 2019","Centre Paul Strauss, Strasbourg, France","https://ClinicalTrials.gov/show/NCT03956641"
731,"SLNB After Neoadjuvant Treatment in Node Positive Patients","Completed","No Results Available","Sentinel Lymph Node Biopsy|Locoregional Neoplasm Recurrence|Progression, Disease",,"Clinical Hospital Center Rijeka","SLNBvsALND","February 7, 2019",,"https://ClinicalTrials.gov/show/NCT03833960"
732,"Haplo / Allogeneic NKG2DL-targeting Chimeric Antigen Receptor-grafted γδ T Cells for Relapsed or Refractory Solid Tumour","Not yet recruiting","No Results Available","Colorectal Cancer|Triple Negative Breast Cancer|Sarcoma|Nasopharyngeal Carcinoma|Prostate Cancer|Gastric Cancer","Biological: Adoptive Cell Transfer of NKG2DL-targetting Chimeric Antigen Receptor-grafted Gamma Delta T cell","CytoMed Therapeutics Pte Ltd","CTM-N2D","September 27, 2019","Landmark Medical Centre, Johor Bahru, Johor, Malaysia","https://ClinicalTrials.gov/show/NCT04107142"
733,"Direct Information to At-risk Relatives","Enrolling by invitation","No Results Available","Familial Breast Cancer|Familial Colorectal Cancer|Hereditary Breast and Ovarian Cancer Syndrome|Hereditary Breast Cancer|Lynch Syndrome","Other: Standard care encouraging family-mediated disclosure of hereditary cancer risk|Other: Offer of health-care assisted disclosure by sending direct letters to at-risk relatives","Umeå University|Göteborg University|Lund University|Karolinska Institutet","The Swedish DIRECT study|Ref. no: 2018-00964","December 13, 2019","Cancergenetisk mottagning, Umeå, Sweden","https://ClinicalTrials.gov/show/NCT04197856"
734,"Tumoral Bone Strength Assessment by Numerical Simulation Using Quantitative CT : the MEKANOS Study","Recruiting","No Results Available","Metastases to Bone|Metastatic Breast Cancer|Metastatic NSCLC","Other: Evaluation of the fracture risk using data from routine qCT (quantitative Computed Tomography) scan and numerical simulation","Hospices Civils de Lyon","69HCL17_0642","November 20, 2019","Service de rhumatologie, CHU d'Angers, Angers, France|Service de radiothérapie, Institut Jean-Perrin, Clermont-Ferrand, France|Service de rhumatologie, CH Annemasse, Contamine-sur-Arve, France|Service de rhumatologie, CHU de Grenoble, La Tronche, France|Service d'onco-rhumatologie, Centre Oscar Lombret, Lille, France|Service de Radiothérapie, Centre Léon Bérard, 28 Prom. Léa et Napoléon Bullukian, Lyon, France|Service d'oncologie médicale, Institut Curie, 26 rue d'Ulm, Paris, France|Service de Radiologie, Hôpital Cochin, Assistance Publique - Hôpitaux de Paris, Paris, France|Service de Rhumatologie, Hospices Civils de Lyon, Groupement Hospitalier Lyon Sud, Pierre-Bénite, France|Service de rhumatologie, CHU de Poitiers, Poitiers, France|Service de rhumatologie, CHU de Saint Etienne, Saint-Priest-en-Jarez, France","https://ClinicalTrials.gov/show/NCT04170634"
735,"Pain Phenotyping of Patients With Bone Cancer Pain","Recruiting","No Results Available","Pain|Bone Metastases|Metastatic Breast Cancer",,"University of Copenhagen|The Novo Nordic Foundation","H-18041465","April 9, 2019","Department of Oncology, Rigshospitalet, Copenhagen, Denmark|The Department of Oncology, Herlev Hospital, Herlev, Denmark","https://ClinicalTrials.gov/show/NCT03908853"
