role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04188548,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call,male,0.75,449,441,A Study of LY3484356 in Participants With Advanced or Metastatic Breast Cancer or Endometrial Cancer,Recruiting,No Results Available,Breast Cancer|Advanced Breast Cancer|Metastatic Breast Cancer|Endometrial Cancer,Drug: LY3484356|Drug: Abemaciclib,Eli Lilly and Company,17502|J2J-MC-JZLA|2019-003581-41,"December 6, 2019","Highlands Oncology Group, Fayetteville, Arkansas, United States|University of California, San Francisco, San Francisco, California, United States|University of Miami School of Medicine, Miami, Florida, United States|Winship Cancer Center Emory University, Atlanta, Georgia, United States|Johns Hopkins University, Baltimore, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Minnesota Oncology/Hematology PA, Minneapolis, Minnesota, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Ohio State University Medical Center, Columbus, Ohio, United States|Sarah Cannon Research Institute SCRI, Nashville, Tennessee, United States|Tennessee Oncology PLLC, Nashville, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Texas Oncology-Baylor Charles A. Sammons Cancer Center, Dallas, Texas, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|Texas Oncology - San Antonio Medical Center, San Antonio, Texas, United States|South Texas Accelerated Research Therapeutics, LLC, San Antonio, Texas, United States|US Oncology, The Woodlands, Texas, United States|Texas Oncology - Tyler, Tyler, Texas, United States|University of Vermont Medical Center, Burlington, Vermont, United States|Inova Dwight and Martha Schar Center Institute, Fairfax, Virginia, United States|Virginia Oncology Associates, Norfolk, Virginia, United States|Oncology and Hematology Associates of Southwest Virginia Inc, Salem, Virginia, United States|Seattle Cancer Care Alliance, Seattle, Washington, United States|St Vincent's Hospital, Darlinghurst, New South Wales, Australia|Linear Clinical Research Ltd, Nedlands, Western Australia, Australia|Institut Curie, Paris CEDEX 05, France|Hospital Universitari Vall d'Hebron, Barcelona, Spain",https://ClinicalTrials.gov/show/NCT04188548
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04099277,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call,male,0.75,449,777,A Study of LY3435151 in Participants With Solid Tumors,Terminated,No Results Available,Solid Tumor|Triple-negative Breast Cancer|Gastric Adenocarcinoma|Head and Neck Squamous Cell Carcinoma|Cervical Carcinoma|High Grade Serous Ovarian Carcinoma|Hepatocellular Carcinoma|Undifferentiated Pleomorphic Sarcoma|Leiomyosarcoma,Drug: LY3435151|Drug: Pembrolizumab,Eli Lilly and Company,17364|J1Q-MC-JZIA,"September 23, 2019","University of Texas MD Anderson Cancer Center, Houston, Texas, United States|National Cancer Center Hospital, Chuo-Ku, Tokyo, Japan",https://ClinicalTrials.gov/show/NCT04099277
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04148937,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call,male,0.75,449,835,A Study of the CD73 Inhibitor LY3475070 Alone or in Combination With Pembrolizumab in Participants With Advanced Cancer,Recruiting,No Results Available,Advanced Cancer,Drug: LY3475070|Drug: Pembrolizumab,Eli Lilly and Company|Merck Sharp & Dohme Corp.,17504|J2I-MC-JZMA|2019-003270-64|Keynote A57,"November 4, 2019","Cedars Sinai Medical Center, Los Angeles, California, United States|Sarah Cannon Research Institute at HealthOne, Denver, Colorado, United States|Florida Cancer Specialists ORLANDO/DDU, Lake Mary, Florida, United States|Washington University Medical School, Saint Louis, Missouri, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Sarah Cannon Research Institute SCRI, Nashville, Tennessee, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia|Royal Marsden Hospital, Sutton, United Kingdom",https://ClinicalTrials.gov/show/NCT04148937
Principal Investigator,"Jonathan A. Haas, MD",NYU Winthrop Hospital,,NCT03946683,jonathan a. haas,jonathan,male,0.99,87986,228,Cyberknife for Early Stage Breast Cancer,"Active, not recruiting",No Results Available,Early Stage Breast Cancer,Radiation: Cyberknife for Early Stage Breast Cancer,NYU Langone Health,18-01721,"May 13, 2019","NYU Langone Health, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03946683
Principal Investigator,Dr Jonathan Krell,Imperial College London,,NCT03934827,jonathan krell,jonathan,male,0.99,87986,801,MRx0518 in Patients With Solid Tumours Waiting Surgical Removal of the Tumour,Recruiting,No Results Available,Melanoma|Breast Cancer|Uterine Cancer|Ovarian Cancer|Prostate Cancer|Urethral Cancer|Bladder Cancer|Renal Cancer|Lung Cancer|Head and Neck Cancer,Drug: MRx0518 Capsules|Drug: MRx0518/placebo Capsules,Imperial College London|4D pharma plc,C/35/2017,"May 2, 2019","Imperial College Healthcare NHS Trust, London, United Kingdom",https://ClinicalTrials.gov/show/NCT03934827
Principal Investigator,Jose Enrique Alés-Martínez,Complejo Hospitalario de Ávila,,NCT03931551,jose enrique alés-martínez,jose,male,0.98,451671,229,"Olaparib+Trastuzumab in HER2[+],Breast Cancer Susceptibility Gene (BRCA) Mutated or Homologous Recombination Deficient (HRD) Advanced Breast Cancer",Recruiting,No Results Available,Advanced Breast Cancer,Drug: Olaparib [Lynparza®] plus Trastuzumab [Herceptin®],MedSIR,MedOPP168,"April 30, 2019","Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitario Reina Sofía, Cordoba, Spain|Hospital San Pedro de Alcántara, Cáceres, Spain|Complejo Hospitalario de Jaén, Jaén, Spain|Hospital Universitari Arnau de Vilanova de Lleida, Lleida, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Regional y Universitario Virgen de la Victoria, Málaga, Spain|Hospital Universitari Son Espases, Palma de Mallorca, Spain|Hospital Son Llatzer, Palma de Mallorca, Spain|Fundación Onkologikoa, San Sebastián, Spain|Hospital Clínico Universitario de Santiago -CHUS, Santiago De Compostela, Spain|Hospital Virgen del Rocío, Sevilla, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Arnau de Vilanova de Valencia, Valencia, Spain|Complejo Asistencial de Àvila Hospital Ntra. Sra. de Sonsoles, Ávila, Spain",https://ClinicalTrials.gov/show/NCT03931551
Principal Investigator,"Jose Pablo Leone, MD",Dana-Farber Cancer Institute,,NCT03846583,jose pablo leone,jose,male,0.98,451671,302,Tucatinib + Abemaciclib + Herceptin for HER2+ MBC,Not yet recruiting,No Results Available,Breast Cancer,Drug: Tucatinib|Drug: Abemaciclib|Drug: Trastuzumab|Drug: Aromatase Inhibitor,Dana-Farber Cancer Institute|Eli Lilly and Company,18-621,"February 19, 2019","Brigham and Women's Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|The Broad Institute of MIT, Cambridge, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03846583
Principal Investigator,"Jose J Jimenez-Moleon, MD, PhD",Instituto de Investigación Biosanitaria de Granada ibs.GRANADA,,NCT04174391,jose j jimenez-moleon,jose,male,0.98,451671,313,Lifestyles and Breast Cancer,Not yet recruiting,No Results Available,Malignant Tumor of Breast,Behavioral: Mediterranean diet supplemented with extra-virgin olive oil|Behavioral: Low-fat diet,University of Navarra|Instituto de Salud Carlos III,2019.046,"November 22, 2019","University of Cantabria, Santander, Cantabria, Spain|University of Navarra-Instituto de Investigación Sanitaria de Navarra, Pamplona, Navarra, Spain|Instituto de Investigación Biosanitaria de Granada ibs.GRANADA, Granada, Spain|University of Jaen, Jaen, Spain",https://ClinicalTrials.gov/show/NCT04174391
Principal Investigator,"Estefania A Toledo, MD, MPH, PhD",University of Navarra (IdiSNA),,NCT04174391,estefania a toledo,estefania,female,0.99,11749,313,Lifestyles and Breast Cancer,Not yet recruiting,No Results Available,Malignant Tumor of Breast,Behavioral: Mediterranean diet supplemented with extra-virgin olive oil|Behavioral: Low-fat diet,University of Navarra|Instituto de Salud Carlos III,2019.046,"November 22, 2019","University of Cantabria, Santander, Cantabria, Spain|University of Navarra-Instituto de Investigación Sanitaria de Navarra, Pamplona, Navarra, Spain|Instituto de Investigación Biosanitaria de Granada ibs.GRANADA, Granada, Spain|University of Jaen, Jaen, Spain",https://ClinicalTrials.gov/show/NCT04174391
Principal Investigator,"Trinidad Dierssen-Sotos, MD, PhD",University of Cantabria,,NCT04174391,trinidad dierssen-sotos,trinidad,female,0.92,1047,313,Lifestyles and Breast Cancer,Not yet recruiting,No Results Available,Malignant Tumor of Breast,Behavioral: Mediterranean diet supplemented with extra-virgin olive oil|Behavioral: Low-fat diet,University of Navarra|Instituto de Salud Carlos III,2019.046,"November 22, 2019","University of Cantabria, Santander, Cantabria, Spain|University of Navarra-Instituto de Investigación Sanitaria de Navarra, Pamplona, Navarra, Spain|Instituto de Investigación Biosanitaria de Granada ibs.GRANADA, Granada, Spain|University of Jaen, Jaen, Spain",https://ClinicalTrials.gov/show/NCT04174391
Principal Investigator,"Marina Pollan, Md, PhD",Instituto de Salud Carlos III,,NCT04174391,marina pollan,marina,female,0.98,109549,313,Lifestyles and Breast Cancer,Not yet recruiting,No Results Available,Malignant Tumor of Breast,Behavioral: Mediterranean diet supplemented with extra-virgin olive oil|Behavioral: Low-fat diet,University of Navarra|Instituto de Salud Carlos III,2019.046,"November 22, 2019","University of Cantabria, Santander, Cantabria, Spain|University of Navarra-Instituto de Investigación Sanitaria de Navarra, Pamplona, Navarra, Spain|Instituto de Investigación Biosanitaria de Granada ibs.GRANADA, Granada, Spain|University of Jaen, Jaen, Spain",https://ClinicalTrials.gov/show/NCT04174391
Study Director,"Jose M Maldonado, PhD, MSc",University of Barcelona,,NCT03985267,jose m maldonado,jose,male,0.98,451671,512,A New Mindfulness Approach Called Swinging Effect Intervention for Women With Breast Cancer,"Active, not recruiting",No Results Available,Anxiety|Stress|Self Efficacy|Depression|Breast Cancer Female|Hopefulness,Behavioral: Mindfulness based Swinging Effect Intervention,University of Barcelona,2018/14-01,"June 13, 2019","Ozel Oz Psikoloji Aile Danisma Merkezi (Oz Psychology Family Counselling Centre), Izmir, Konak, Turkey|EgeMed Hospital, Aydın, Soke, Turkey",https://ClinicalTrials.gov/show/NCT03985267
Study Chair,"Gilmar M Santos, PhD",Universidade do Estado de Santa Catarina this account disabled,,NCT04084600,gilmar m santos,gilmar,male,0.97,484,230,Effects of Manual Therapy on Chronic Pain and Functionality of Breast Cancer Survivors,Recruiting,No Results Available,Breast Cancer,Other: Kinesiotherapy Protocol|Other: Manual Therapy Protocol|Other: Traditional Massage,University of the State of Santa Catarina,Manual Therapy BCS,"September 10, 2019","Santa Catarina State University, Florianópolis, Santa Catarina, Brazil",https://ClinicalTrials.gov/show/NCT04084600
Principal Investigator,Chang Chen,Peking Union Medical College Hospital,,NCT04145973,chang chen,chang,male,0.85,3059,237,Evaluation of Prognostic Monitoring for Breast Cancer Patients With Recurrence and Metastasis After Surgery,Recruiting,No Results Available,Breast Cancer,,Peking Union Medical College Hospital,PUMCH-BC501,"October 31, 2019","Peking Union Medical College Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04145973
Principal Investigator,"Liv Veldeman, dr",University of Ghent,,NCT04091542,liv veldeman,liv,female,0.84,1285,239,Hyperventilation and Oxygenation to Prolong Breath Hold in Breast Cancer Irradiation Treatment,Recruiting,No Results Available,Breast Cancer,Device: Optiflow/Ventilator,"University Hospital, Ghent",EC2019/0127,"September 16, 2019","University Hospital - Radiotherapy Department, Ghent, Belgium",https://ClinicalTrials.gov/show/NCT04091542
Principal Investigator,"Hesham Elghazaly, Professor",Ain Shams University,,NCT04012918,hesham elghazaly,hesham,male,0.97,3513,240,"Capecitabine in Combination With Aromatase Inhibitor Versus Aromatase Inhibitors, in Hormonal Receptor Positive Recurrent or Metastatic Breast Cancer Patients, Randomized Controlled Study",Recruiting,No Results Available,Metastatic Breast Cancer,Drug: Capecitabine plus aromatase inhibitor|Drug: A.I.,Ain Shams University,Combined CTH and HT in MBC,"July 9, 2019","Clinical oncology department, Faculty of medicine, Ain Shams University, Cairo, Egypt",https://ClinicalTrials.gov/show/NCT04012918
Principal Investigator,"Antonio Forte, MD, PhD",Mayo Clinic,,NCT03981718,antonio forte,antonio,male,0.99,328654,243,Adipose-Induced Regeneration of Breast Skin to Treat Post-Mastectomy Radiation Injury in Breast Cancer Patients,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Fat grafting,Mayo Clinic,19-002792,"June 11, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States",https://ClinicalTrials.gov/show/NCT03981718
Principal Investigator,"Antonio Llombart, PdH",MedSIR,,NCT03819010,antonio llombart,antonio,male,0.99,328654,404,"Neoadjuvant Letrozole and Palbociclib in Patients With Stage II-IIIB Breast Cancer, HR+, HER2 -",Completed,No Results Available,Breast Cancer,Drug: Pre treatment Recurrence Score:18-25 Letrozole + Palbociclib|Drug: Pre treatment Recurrence Score:26-100 Letrozole + Palbociclib,MedSIR|Pfizer,MedOPP199,"January 28, 2019","Hospital da Luz, Lisboa, Portugal|Hospital Fernando Fonseca, Lisboa, Portugal|Portuguese Institute of Oncology of Oporto, Oporto, Portugal|ICO Badalona, Badalona, Barcelona, Spain|ICO l'Hospitalet, L'Hospitalet de Llobregat, Barcelona, Spain|Hospital de Jaén, Jaen, Jaén, Spain|Complejo Hospitalario Universitario A Coruña (CHUAC), A Coruña, Spain|H. Vall Hebrón, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Reina Sofia, Cordoba, Spain|Onkologikoa, Donostia, Spain|Hospital Arnau de Vilanova, Lleida, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Instituto Valenciano de Oncologia, Valencia, Spain|Hospital Arnau de Vilanova de Valencia, Valencia, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Miguel Servet, Zaragoza, Spain",https://ClinicalTrials.gov/show/NCT03819010
Principal Investigator,"Antonio Toesca, MD",European Institute of Oncology,,NCT04108117,antonio toesca,antonio,male,0.99,328654,742,Surgical and Oncologic Outcomes After Robotic Nipple Sparing Mastectomy and Immediate Reconstruction,Enrolling by invitation,No Results Available,Postoperative Complications|Recurrence|Breast Neoplasms|Breast Cancer|BRCA1 Mutation|BRCA2 Mutation|Surgery|Surgery--Complications,Procedure: Robotic nipple sparing mastectomy,"Severance Hospital|European Institute of Oncology|Changhua Christian Hospital|Gustave Roussy, Cancer Campus, Grand Paris",4-2019-0834,"September 27, 2019","Yonsei University College of Medicine, Seoul, Korea, Republic of",https://ClinicalTrials.gov/show/NCT04108117
Principal Investigator,"Hyung Seok Park, MD, PhD",Severance Hospital,,NCT04108117,hyung seok park,hyung,male,0.95,821,742,Surgical and Oncologic Outcomes After Robotic Nipple Sparing Mastectomy and Immediate Reconstruction,Enrolling by invitation,No Results Available,Postoperative Complications|Recurrence|Breast Neoplasms|Breast Cancer|BRCA1 Mutation|BRCA2 Mutation|Surgery|Surgery--Complications,Procedure: Robotic nipple sparing mastectomy,"Severance Hospital|European Institute of Oncology|Changhua Christian Hospital|Gustave Roussy, Cancer Campus, Grand Paris",4-2019-0834,"September 27, 2019","Yonsei University College of Medicine, Seoul, Korea, Republic of",https://ClinicalTrials.gov/show/NCT04108117
Principal Investigator,"Kathy Miller, MD",Indiana University,,NCT04134884,kathy miller,kathy,female,0.98,11449,244,Study of ASTX727 Plus Talazoparib in Patients With Triple Negative or Hormone Resistant/HER2-negative Metastatic Breast Cancer,Recruiting,No Results Available,Metastatic Breast Cancer|Triple Negative Breast Cancer|Hormone Receptor Positive Tumor,Drug: Talazoparib|Drug: ASTX727,"Kathy Miller|Pfizer|Astex Pharmaceuticals, Inc.|Van Andel Institute Stand Up to Cancer Team|Indiana University",CTO-IUSCC-0684,"October 22, 2019","Indiana University Melvin & Bren Simon Cancer Center, Indianapolis, Indiana, United States",https://ClinicalTrials.gov/show/NCT04134884
Principal Investigator,"Corrado Tinterri, MD",Istituto Clinico Humanitas,,NCT04019678,corrado tinterri,corrado,male,0.99,6857,247,Breast Cancer: Axillary Conservation After Neoadjuvant Chemotherapy in Micro Metastatic Sentinel Lymph Nodes.,Recruiting,No Results Available,Breast Cancer,Procedure: Omission of Axillary dissection|Procedure: Axillary dissection,Istituto Clinico Humanitas,651,"July 15, 2019","Istituto Clinico Humanitas, Rozzano, MI, Italy",https://ClinicalTrials.gov/show/NCT04019678
Principal Investigator,Xi Shen,Peking Union Medical College Hospital,,NCT04145947,xi shen,xi,male,0.53,406,249,Evaluation of Prognostic Monitoring for Triple Negative Breast Cancer Patients,Recruiting,No Results Available,Triple Negative Breast Cancer,,Peking Union Medical College Hospital,PUMCH-BC502,"October 31, 2019","Peking Union Medical College Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04145947
Principal Investigator,"Zeina Nahleh, MD","Cleveland Clinic Taussig Cancer Center, Case Comprehensive Cancer Center",,NCT04205786,zeina nahleh,zeina,female,0.98,1276,252,Vitamin B12 for Aromatase Inhibitors Associated Musculoskeletal Symptoms in Breast Cancer,Not yet recruiting,No Results Available,HR-positive Breast Cancer,Dietary Supplement: Vitamin B12|Other: Blood collection|Other: Brief Pain Inventory - Short Form survey|Other: FACT-ES Trial Outcome Index (Version 4)|Other: Questionnaire to Assess Adherence to Aromatase Inhibitors|Other: Demographics Questionnaire,Case Comprehensive Cancer Center,CASE5119,"December 19, 2019","Cleveland Clinic Taussig Cancer Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT04205786
Principal Investigator,"ICing Hou, PhD",National Yang Ming University,,NCT04174248,icing hou,icing,male,0.57,14,253,Breast Cancer Self-Management Mobile Care Application Intervention in the Quality of Life,Completed,No Results Available,Breast Cancer|Quality of Life,Other: BCSMS App,National Yang Ming University,YM107109E,"November 22, 2019","National Yang-Ming University, Taipei, Taiwan",https://ClinicalTrials.gov/show/NCT04174248
Principal Investigator,"Jean Marc Bourque, MD",Ottawa Hospital Research Institute,,NCT03948568,jean marc bourque,jean,male,0.95,196185,255,Evaluating Optimal Timing of Endocrine Therapy and Radiation Therapy in Early-stage Breast Cancer (REaCT-RETT),Recruiting,No Results Available,Early-stage Breast Cancer,Combination Product: Endocrine Therapy and Radiotherapy,Ottawa Hospital Research Institute,OTT 18-02,"May 14, 2019","Ottawa Hospital Research Institute, Ottawa, Ontario, Canada",https://ClinicalTrials.gov/show/NCT03948568
Principal Investigator,"Sharon McGee, MD",Ottawa Hospital Research Institute,,NCT03948568,sharon mcgee,sharon,female,0.98,33532,255,Evaluating Optimal Timing of Endocrine Therapy and Radiation Therapy in Early-stage Breast Cancer (REaCT-RETT),Recruiting,No Results Available,Early-stage Breast Cancer,Combination Product: Endocrine Therapy and Radiotherapy,Ottawa Hospital Research Institute,OTT 18-02,"May 14, 2019","Ottawa Hospital Research Institute, Ottawa, Ontario, Canada",https://ClinicalTrials.gov/show/NCT03948568
Study Director,"Jean Olivier Arnaud, Director",Assistance Publique Hôpitaux de Marseille,,NCT03837054,jean olivier arnaud,jean,male,0.95,196185,643,Does Chemotherapy Train the Mutation of the Pig-A Gene? (PIGA),Recruiting,No Results Available,Breast Cancer Female,Biological: Blood collection and Micronuclei assay on binucleate lymphocytes in culture,Assistance Publique Hopitaux De Marseille,2018-63,"February 11, 2019",": Service de Gynécologie Obstétrique Hôpital Nord, Marseille, Marseille Cedex 20, France",https://ClinicalTrials.gov/show/NCT03837054
Principal Investigator,Rajendra Badwe,"Director, tata Memorial Centre",,NCT03797482,rajendra badwe,rajendra,male,0.99,877,257,A Prospective Evaluation of the Peri-operative Hypoxia in Breast Cancer,Recruiting,No Results Available,Breast Cancer Female,Procedure: Intra-operative Tumor Tissue Biopsy,Tata Memorial Hospital,Protocol 254,"January 9, 2019","Tata Memorial Center, Mumbai, Maharashtra, India",https://ClinicalTrials.gov/show/NCT03797482
Principal Investigator,Tao Sun,Liaoning Tumor Hospital & Institute,,NCT03932526,tao sun,tao,male,0.86,1883,259,Combined Use of Apatinib Mesylate and Vinorelbine Versus Single Use of Vinorelbine in Triple-negative Breast Cancer,Not yet recruiting,No Results Available,Triple-negative Breast Cancer,Drug: Vinorelbine + placebo|Drug: Vinorelbine + Apatinib,Liaoning Tumor Hospital & Institute,STao-003,"April 30, 2019",,https://ClinicalTrials.gov/show/NCT03932526
Principal Investigator,"Patricia Tang, MD",Tom Baker Cancer Centre,,NCT04149444,patricia tang,patricia,female,0.98,132232,262,A Study of Trifluridine/Tipiracil in Triple Negative Metastatic Breast Cancer,Withdrawn,No Results Available,Metastatic Triple Negative Breast Cancer,Drug: Trifluridine/Tipiracil,AHS Cancer Control Alberta|Tom Baker Cancer Centre,OZM-103,"November 4, 2019","Tom Baker Cancer Centre, Calgary, Alberta, Canada",https://ClinicalTrials.gov/show/NCT04149444
Principal Investigator,Yu Jiang,West China Hospital,,NCT03953833,yu jiang,yu,male,0.54,4500,265,B003 in Patients With HER2-positive Recurrent or Metastatic Breast Cancer,Recruiting,No Results Available,HER2-positive Breast Cancer,Biological: Recombinant anti-HER2 humanized monoclonal antibody conjugate for injection.R&D code: B003.,"Shanghai Pharmaceuticals Holding Co., Ltd",B003-101,"May 17, 2019","West China Hospital of Sichuan University, Chengdu, Sichuan, China",https://ClinicalTrials.gov/show/NCT03953833
Principal Investigator,Yongsheng Wang,West China Hospital,,NCT03953833,yongsheng wang,yongsheng,male,0.98,45,265,B003 in Patients With HER2-positive Recurrent or Metastatic Breast Cancer,Recruiting,No Results Available,HER2-positive Breast Cancer,Biological: Recombinant anti-HER2 humanized monoclonal antibody conjugate for injection.R&D code: B003.,"Shanghai Pharmaceuticals Holding Co., Ltd",B003-101,"May 17, 2019","West China Hospital of Sichuan University, Chengdu, Sichuan, China",https://ClinicalTrials.gov/show/NCT03953833
Principal Investigator,"Yu Zhigang, DR.",The Second Hospital of Shandong University,,NCT03847818,yu zhigang,yu,male,0.54,4500,278,Neoadjuvant Study of Pyrotinib and Trastuzumab Plus Chemotherapy in Patients With HER2 Positive Breast Cancer,Not yet recruiting,No Results Available,HER2-positive Breast Cancer,Drug: Pyrotinib+Trastuzumab+Docetaxel+Carboplatin,Shandong University,495573096,"February 20, 2019",,https://ClinicalTrials.gov/show/NCT03847818
Principal Investigator,Wang Shu,Peking University People's Hospital,,NCT03978754,wang shu,wang,male,0.64,3532,266,Assessment of Breast Cancer-Related Arm Lymphedema,Recruiting,No Results Available,Breast Neoplasms,Diagnostic Test: ICG、CM、VM、BIS、self-report,Peking University People's Hospital,PUPH18050101,"June 7, 2019","Peking University People's Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03978754
Study Director,"Xiaobo Yan, MD",The Second Affiliated Hospital of Zhejiang University School of Medicidne,,NCT04158843,xiaobo yan,xiaobo,male,0.84,79,267,Radical Local vs. Palliative Therapy for Breast Cancer Patientts With Ipsilateral Humerus or Sternum Oligometastasis,Recruiting,No Results Available,Breast Cancer|Oligometastasis,Procedure: Radical resection|Radiation: Radical radiotherapy|Other: Palliative treatment,"xuexin he|Second Affiliated Hospital, School of Medicine, Zhejiang University",BOMB,"November 12, 2019","Institute of Cancer Research and Basic Medical Sciences, CAS Cancer Hospital, University of Chinese Academy of Sciences Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China|The Second Affiliated Hospital of Zhejiang University School of Medicine (SAHZU), Hangzhou, Zhejiang, China|Jiaxing Second Hospital, Jiaxing, Zhejiang, China|The Central Hospital of Lishui, Lishui, Zhejiang, China",https://ClinicalTrials.gov/show/NCT04158843
Principal Investigator,"Kent Hoskins, M.D.",University of Illinois at Chicago,,NCT04083963,kent hoskins,kent,male,0.98,5262,268,Phase 2 Trial of Neoadjuvant Weekly Carboplatin Plus Paclitaxel in Triple Negative Breast Cancer,Recruiting,No Results Available,Triple Negative Breast Cancer,Drug: Carboplatin|Drug: Paclitaxel|Drug: Doxorubicin|Drug: Cyclophosphamide,University of Illinois at Chicago,2019-0550,"September 10, 2019","University of Illinois, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04083963
Principal Investigator,"Kent Hoskins, M.D.",University of Illinois at Chicago,,NCT04082117,kent hoskins,kent,male,0.98,5262,442,Uptake of Genetic Counseling Among African American Women,Recruiting,No Results Available,Breast Cancer Risk,Behavioral: Educational video,University of Illinois at Chicago,2016-1219,"September 9, 2019","University of Illinois Health System, Chicago, Illinois, United States|University of Illinois, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04082117
Study Chair,"Xuexin He, MD","Seaond Affiliated Hospital, Zhejiang University, School of Medicine",,NCT04158856,xuexin he,xuexin,male,0.6,5,270,"Adjuvant Dual Anti-HER2 Therapy in Patients With Small, Node-negative, HER2-positive Breast Cancer",Not yet recruiting,No Results Available,HER2-positive Breast Cancer,Drug: Pyrotinib|Drug: Trastuzumab,"xuexin he|Second Affiliated Hospital, School of Medicine, Zhejiang University",SHERO,"November 12, 2019",,https://ClinicalTrials.gov/show/NCT04158856
Study Director,"xuexin he, MD",The Second Affiliated Hospital of Zhejiang University School of Medicine (SAHZU),,NCT04158947,xuexin he,xuexin,male,0.6,5,408,A Study of HER2+ Breast Cancer Patients With Active Brain Metastases Treated With Afatinib & T-DM1 vs. T-DM1 Alone,Recruiting,No Results Available,HER2-positive Breast Cancer|Brain Metastases,Drug: Afatinib|Drug: T-DM1,"xuexin he|Second Affiliated Hospital, School of Medicine, Zhejiang University",HER2BAT,"November 12, 2019","Peking University International Hospital, Beijing, Beijing, China|Sun Yat-sen University Cancer Center (SYSUCC), Guangzhou, Guangdong, China|Kiang Wu Hospital, Macao, Macao, China|The Second Affiliated Hospital of Zhejiang University School of Medicine (SAHZU), Hangzhou, Zhejiang, China",https://ClinicalTrials.gov/show/NCT04158947
Principal Investigator,"Gwo Fuang Y Ho, FRCR",University of Malaya,,NCT03989089,gwo fuang y ho,gwo,male,0.83,18,274,Study of Pembrolizumab in Metastatic HER2-negative Breast Cancer Patients With APOBEC3B Mutation,Not yet recruiting,No Results Available,HER2-Negative Breast Cancer,Drug: Pembrolizumab,"University of Malaya|Merck Sharp & Dohme (MSD)|National University Hospital, Singapore|Cancer Research Malaysia",IIT-UM2018001,"June 18, 2019","University Malaya Medical Centre, Kuala Lumpur, Wilayah Persekutuan, Malaysia",https://ClinicalTrials.gov/show/NCT03989089
